ProductId,ProductName,Price,Stock,Description,ProductIcon,CategoryType
L05,CRISLAN SOFA (3+2 SEATER),54990,35, Add soothing charisma to your home décor with the Crislan sofa.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/v/v/vvsdvsd.jpg,1
L06,ANDREA 3 + 1 + 1 SEATER,39900,50,"Durable structure, premium fabric and ergonomical design, compact design",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/a/n/andrea11.jpg,1
L07,LEON SOFA (3 + 2 SEATER),83000,80,An elegant masterpiece that enhances the impression of your lounge.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/v/s/vsv.jpg,1
L08,PROXIMA SOFA (3+2 SEATER),55000,66,It`s compact and is optimum in it`s design.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/h/g/hgyy.jpg,1
B05,MERCURY NIGHT STAND,990,45,Compact night stand with open shelves.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/b/k/bkcm001_m42_1__4.jpg,0
B06,CARVIN NIGHT STAND,5990,60,Melamine-faced engineered wood & MDF,https://damroindia.com/media/catalog/product/cache/5/small_image/200x300/50d3a2473afa9dcede73faf3544c1f43/k/c/kcca001_wgm02_1_.jpg,0
B07,VENICE 4 PIECE  BEDROOM SET,54900,48,Two tone design with Melamine finish,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/r/4/r4re_1.jpg,0
B08,BRILLIANT KING SIZE BED,49900,40,"MDF Solid Rubber Wood,Timber veener and MDF",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/b/r/brilliant_1_1.png,0
D05,NEVADA 7 PIECE DINING SET,55900,56,"Solid Rubberwood structure, MDF with Veeneer top, Premium Fabric Upholstered seat",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/n/e/nevada_001.jpg,2
D06,DINING CABINET,21900,60,Melamine-faced engineered wood.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/d/kdc007_m42_1_.jpg,2
D07,LUCAS 7 PIECE DINING SET,91000,65,Chairs provided with angled back rest for long sitting with greater comfort.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/l/u/lucas_marble_top_1_.jpg,2
D08,SONALI 5 PIECE DINING SET,69900,70,Art marble with metal inlay work.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/s/o/sonali_marble_top_1_.jpg,2
O05,EXECUTIVE TABLE SET,24590,67,"Knockdown Design, Side Storage.",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/w/kwt700.jpg,3
O06,STUDY DESK,12490,58," Side storage with shutter, open shelves provided at the top of the table",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/s/ksd_019.jpg,3
O07,GIGH BACK CHAIR,5290,75,"Ergonomical Design with high Backrest, Armrest, Height adjustable gas lift and base with castors , Elegant look",https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/o/c/och_016_bassse.jpg,3
O08,CONFERENCE TABLE,27900,80,Conference table with 10 seater capacity.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/c/kcf_016_m401.jpg,3
L09,HAILY RECLINER SOFA,79000,66,"Durable Structure, Premium fabric and Ergonomical Design, Recliner Feature, High Comfort level",https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/h/a/haily_3_1r_1r_pl03_1__1.jpg,1
L10,MICHIGAN CORNER SOFA,92000,75,"Durable Structure, Premium Fabric and Ergonomical Design, Compact design",https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/f/s/fsdgrerd.jpg,1
L11,PORTLAND CORNER SOFA,145000,80,Comfortable arm rest console with storage and glass holder,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/s/d/sdgwegweg.jpg,1
L12,FERLAND RECLINAR SOFA,85000,78,"Durable Structure, Premium Leather and Ergonomical Design, Recliner Feature, High Comfort level.",https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/f/e/fer_1.jpg,1
B09,ANGELA 4 DOOR WARDROBE,58000,76,Unique two-tone wardrobe design (new color board-M62).,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/w/kwal.jpg,0
B10,ANGELA DRESSING TABLE,25900,65,Unique two-tone dressing table design (new color board-M62) with storage.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/d/kdal_001.jpg,0
B11,TURKEY HYDRAULIC BED,15000,45,Hydraulic storage bed with strong bed structure.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/f/q/fqawf.jpg,0
B12,TURKEY 3 DOOR WARDROBE,12290,62,3 door wardrobe with provision for cloth hanging and drawer.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/e/f/efefwf.jpg,0
D09,CROCKERNY UNIT,26900,70,Unique looking design which can be used at living cabinet cum display cabinet at dining & living areas top portion provided with glass shutters for better aesthetics and visibility.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/2/6/26_1_1.png,2
D10,BRISBANE 7 PIECE DINING SET,43900,74,Solid rubberwood design.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/b/r/brisbane01_1.jpg,2
D11,DINING CABINET,19790,77,Unique design storage with lock in bottom hinged storage.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/d/kdc008_m42_m51_1_.jpg,2
D12,CANTON 5 PIECE DINING SET ,38900,60, Solid rubberwood design.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/c/a/canton_02.jpg,2
O09,STUDY DESK,3790,56,"Knockdown Design,folding flap,shelfs and storage space",https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/s/ksd_0081_1_1.jpg,3
O10,EXECUTIVE WRITING TABLE,33900,70, Attractive looking two-tone executive table design with side storage unit.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/w/kwt_080_1.jpg,3
O11,STUDY TYABLE,10490,68,. Two-tone design with functional features - 25mm thick tabletop.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/s/ksd024.jpg,3
O12,VISITOR CHAIR,7490,76,Excellent back support enable long sitting.,https://damroindia.com/media/catalog/product/cache/11/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/o/c/ocv_034_base.jpg,3
